Listing,broken,menu_broken
gabriel-pizza-bluesfest-vendor,true,false
beavertails-bluesfest-vendor,true,false
casey-s-grill-bluesfest-vendor,true,false
east-india-company-bluesfest-vendor,true,false
fadi-s-gourmet-poutine-bluesfest-vendor,true,false
the-grilled-cheeserie-bluesfest-vendor,true,false
green-papaya-bluesfest-vendor,true,false
poutine-machine-bluesfest-vendor,true,false
iceco-bluesfest-vendor,true,false
casa-domenico,false,true
score-pizza,false,true
liquid-nutrition,true,false
golden-thai,true,false
pizzaiolo-gourmet-pizza-kingston-rd,true,false
pizzaiolo-gourmet-pizza-2425-bloor,true,false
pizzaiolo-gourmet-pizza-1160-st-clair,true,false
freshii-kingston-rd,true,false
peterpiperpepper,true,false
alternative-grounds-coffee-house-roastery,true,false
fair-grounds-organic-cafe-roastery,true,false
la-crema-cafe,true,false
mountain-view-estates-coffee-sales-events,true,false
the-health-shoppe,true,false
96-star-chatter,true,false
afghan-jawan,true,false
bistro-bela,true,false
charlie-s-friend-art-cafe,true,false
cheese2go,true,false
china-west-filmmakers-alliance,true,false
chipotle-mexican-grill-dixie-road,true,false
chipotle-mexican-grill-west-mall,true,false
clarke-s-bread,true,false
daddies-patties,true,false
de-frantic-monkey-cafe-bar,true,false
fil-euro-bakery,true,false
hunt-camp,true,false
heavenly-grind-inc,true,false
hugh-s-room-live,true,false
korean-canadian-scholarship-foundation,true,false
mabel-s-bakery-specialty-foods,true,false
middle-eastern-home-made-appatizers-and-sweets,true,false
mocha-cafe-and-pastry,true,false
newport-gourmet-foods-inc,true,false
organizing-for-jamaica,true,false
st-john-s-bakery,true,false
the-homebake-pizza-company,true,false
the-red-bench,true,false
uncle-george-s-sprouts,true,false
andrea-s-gerrard-st-bakery,true,false
abokichi,true,false
nota-bene-restaurant,true,false
crave-healthy-habits,true,false
mi-taco-taqueria-restaurant,true,false
queen-mother-cafe,true,false
spring-rolls,true,false
urban-herbivore-oxford-st,true,false
karine-s-fresh,true,false
planta-burger,true,false
kupfert-kim-spadina,true,false
blaze-pizza,true,false
bangkok-garden,true,false
basil-box-quad-at-york-u,true,false
basil-box-queen-spadina,true,false
pai-toronto,true,false
iq-food-co-bay-st,true,false
iq-food-co-avenue-rd,true,false
iq-food-co-100-king-st,true,false
iq-food-co-pwc-tower,true,false
iq-food-co-613-king-st,true,false
b-good-king-st,true,false
7-dim-sum-inc,true,false
ethiopiques-restaurant,true,false
copper-branch,true,false
