post_id,post_title,post_author,post_content,post_category,default_category,post_tags,post_type,post_status,is_featured,claimed,package_id,alive_days,expire_date,post_date,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_neighbourhood,neighbourhood_latitude,neighbourhood_longitude,geodir_timing,geodir_contact,geodir_email,geodir_website,geodir_twitter,geodir_facebook,geodir_video,geodir_special_offers,linked_cpt_ID,geodir_backendextrainfo,geodir_ethicalcriteria,geodir_get_directions,geodir_twitterusername,geodir_Instagram,geodir_Calltoaction,gd_is_franchise,gd_franchise_lock,franchise,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE
2433,Cambodiana Restaurant,5,Exotic and Delightful Cambodian & Thai Cuisine,Restaurants,Restaurants,"Asian,best-asian-restaurants-with-vegan-and-vegetarian-options-in-kingston,Cambodian,Restaurant,thai",gd_place,publish,,,1,0,Never,2017-09-27 23:48,161 Brock Street,Kingston,Ontario,Canada,,44.231221,-76.4855473,,,,,6135310888,,http://www.cambodianarestaurant.ca/,,https://www.facebook.com/CambodianarRestaurantKingston/,,,,,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/09/2433_camb.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/09/10616344_858872687465349_2754106208086174856_n.png,,,,,,,,,,,,,,,,
2445,Aji Sai,5,"Aji Sai is a fine dining experience. Servicing the Ontario for more than 17 
years, we offer a fine Japanese eating at reasonable prices. 
You are more than welcome to order takeout and book a reservation through call. Or just come and check us out! It is our pleasure to serve you.

Good veg sushi options with avocado, oshinko, cucumber, asparagus, tempura and more.",Restaurants,Restaurants,"all-you-can-eat,best-asian-restaurants-with-vegan-and-vegetarian-options-in-kingston,Best-Sit-Down-Restaurants-in-Kingston,Best-Vegan-and-Vegetarian-Restaurants-with-Delivery-in-Kingston,Japanese,Restaurant,Sushi",gd_place,publish,,,1,0,Never,2017-10-01 11:44,178 Ontario Street,Kingston,Ontario,Canada,,44.2287286,-76.4814287,,,,,6135411888,info@ajisai.ca,http://www.ajisai.ca/,,,,,,,Vegetarian,Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2445_ajipic3.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2445_ajipic2.jpg,,,,,,,,,,,,,,,,
2451,Akira Restaurant,5,"Japanese Cuisine, especially sushi and teriyaki dishes. Many vegan and vegetarian lunch and dinner options. The staff are very helpful if you tell them you're vegan.",Restaurants,Restaurants,"all-you-can-eat,best-asian-restaurants-with-vegan-and-vegetarian-options-in-kingston,Best-Sit-Down-Restaurants-in-Kingston,Japanese,Restaurant,Sushi",gd_place,publish,,,1,0,Never,2017-10-01 11:56,83 Aberfoyle Rd,Kingston,Ontario,Canada,,44.2585768,-76.5218549,Strathcona Park,44.2585768,-76.5218549,,6137677664,,,,https://www.facebook.com/pages/Akira-Restaurant/137146076300918,,,,,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2451_akirapic.jpg,,,,,,,,,,,,,,,,,
2453,Ali Baba Kabab - Kingston,5,"At #AliBabaKabab, we believe good health can best be enjoyed through good eating! That’s why all of our meals are prepared fresh, homemade, and nutritious.

Persian and Middle Eastern Dishes with good vegan and vegetarian options such as falafel sandwiches.",Restaurants,Restaurants,"Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches-in-Kingston,Best-Vegan-and-Vegetarian-Restaurants-with-Delivery-in-Kingston,Middle-Eastern,Restaurants",gd_place,publish,,,1,0,Never,2017-10-01 12:06,320 Princess St,Kingston,Ontario,Canada,,44.2324998,-76.4894716,,,,,6135319999,,http://www.alibabakabab.ca,,https://www.facebook.com/AliBabaKingston/,,,,,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2453_alibabfalafel.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/19059702_1753635421332021_6648495638504456581_n.jpg,,,,,,,,,,,,,,,,
2455,Amadeus Cafe,5,"serving authentic German and Austrian family recipes for 25 years !!  Said to have the best draught beer selection in the city.

Excellent vegan and vegetarian breaded tofu sausages.",Restaurants,Restaurants,"Austrian,beer,Best-Sit-Down-Restaurants-in-Kingston,European,German,Sausages,tofu",gd_place,publish,,,1,0,Never,2017-10-01 12:43,170 Princess St,Kingston,Ontario,Canada,,44.23173,-76.4849413,,,,,6135467468,,http://www.amadeuscafe.ca/,,https://www.facebook.com/schnitzelman1/,,,,family-owned,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/21751594_1698597310173086_371494772049052463_n.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2455_amadeus.jpg,,,,,,,,,,,,,,,,
2470,Apsara Angkor,5,"Apsara Angkor Cuisine has the pleasure of serving local residents authentic Thai & Cambodian food in Kingston. From family style dinning on authentic food, chef John Meng's menu balances intense fresh and exotic flavor with the freshest herbs, the special spices, rich coconut milk blended, and the inspiration behind it creation to make cuisine truly unique. We do take out, dinning, delivery, and catering.

Some great vegan and vegetarian options using eggplant and tofu. Ask your servers about options since the menu isn't well-labelled.",Restaurants,Restaurants,"best-asian-restaurants-with-vegan-and-vegetarian-options-in-kingston,Best-Vegan-and-Vegetarian-Restaurants-with-Delivery-in-Kingston,Cambodian,thai",gd_place,publish,,,1,0,Never,2017-10-03 15:10,189 Ontario St,Kingston,Ontario,Canada,,44.2288706,-76.4808423,,,,,6135451234,n_keov@yahoo.ca,http://www.apsaraangkor.ca/,,https://www.facebook.com/Apsara-Angkor-1416619395268835/,,,,,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2470_apspic.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/12743806_1654124074851698_8854861037264867430_n.jpg,,,,,,,,,,,,,,,,
2472,AquaTerra,5,"Magnificent waterfront views accompany every meal! Menu focuses upon freshly prepared dishes made with locally sourced ingredients whenever possible. Enjoy globally inspired dishes and an extensive local, regional and international wine list.

AquaTerra has been proudly featured in ""Where to Dine in Canada"" for more than a decade and was named a top Kingston restaurant by HuffPost Canada Living.(Aug, 2015)

AquaTerra Catering offers the same great food and wine you've come to expect in the restaurant.  Choose from drop-offs, pick-up or fully-catered events. 

At least one solid vegan option on the menu for each meal.",Restaurants,Restaurants,"Best-Sit-Down-Restaurants-in-Kingston,Caterer,Fresh,Healthy,healthy-vegan-and-vegetarian-restaurants-in-Kingston,Locally-sourced,Lounge,Restaurant",gd_place,publish,,,1,0,Never,2017-10-03 15:28,6 Clarence St,Kingston,Ontario,Canada,,44.228277,-76.4802434,,,,,6135496243,cdixon@aquaterrakingston.com,http://www.aquaterrakingston.com,https://twitter.com/aquaterraygk,https://www.facebook.com/aquaterrakingston/,,,,"Jeff Laird (AquaTerra General Manager)	jlaird@aquaterrakingston.com","Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2472_aquapic.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/886857_508249699216098_1384563377_o.jpg,,,,,,,,,,,,,,,,
2480,Atomica,5,"Fresh Italian Food. Modern European Design. Contemporary Cocktails.

Daiya cheese available to make any pizza a vegan pizza!",Restaurants,Restaurants,"Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches-in-Kingston,gluten-free,Italian,Pizza,Restaurant,Take-out,Wine",gd_place,publish,,,1,0,Never,2017-10-03 15:52,71 Brock St,Kingston,Ontario,Canada,,44.2307621,-76.4821291,,,,,6135302118,info@atomica.ca,http://www.atomica.ca,https://twitter.com/AtomicaKingston,https://www.facebook.com/AtomicaKingston/,,,,"Tim Pater, owner of Brock St.’s Le Chien Noir Bistro and Atomica Pizza and Wine Bar","Vegan,Vegetarian",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2480_atomicapic.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/74130_486517041390912_2086058356_n.png,,,,,,,,,,,,,,,,
2482,BLUMartini,5,"At BLU Martini, we take great pride in providing each and every one of our guests with a positive and memorable experience. From offering quality food and cocktails, through personable and attentive service, to providing Kingston with the best of local and touring Live Entertainment every Friday and Saturday, BLU Martini is the perfect place to be in Kingston! Whether you're looking to grab a meal with a special someone, treat yourself to a cocktail after work, or enjoy Live Music and Dancing in the company of great people, it's all here, steps away from Kingston's waterfront and famous Market Square, at BLU Martini, 178 Ontario St.

Many vegetarian options, and some vegan ones including a delicious stir-fry. Verify with your server.",Restaurants,Restaurants,"Bar,Best pubs with vegan and vegetarian food in Kingston,Best-woman-owned-restaurants-in-kingston,Dancing,Grill,Night Club",gd_place,publish,,,1,0,Never,2017-10-04 11:08,178 Ontario St,Kingston,Ontario,Canada,,44.2287286,-76.4814287,,,,,6137668880,info@blumartini.ca,http://blumartini.ca,https://twitter.com/martiniblu,https://www.facebook.com/BluMartiniKingston/,,,,Manager (and owner?): Anastasia Fountas,"Vegan,Vegetarian,Woman-owned",Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2482_blumartininipic.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/1959348_227640107430434_5025929505830862366_n.jpg,,,,,,,,,,,,,,,,
2485,Bubba's Poutine & Pizzeria,5,"Kingston's best place for poutine, voted #1 Queens University.

Pizza delivery with daily take out and walk in specials.

Vegetarian options including veg pizzas and submarine sandwiches. Poutine gravy is not vegetarian, and there are no vegan menu items though they may be able to put something together for you.",Restaurants,Restaurants,"Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches-in-Kingston,Best-Vegan-and-Vegetarian-Restaurants-with-Delivery-in-Kingston,Fast food,Pizza,Poutine,Restaurant",gd_place,publish,,,1,0,Never,2017-10-04 11:39,397 Princess St,Kingston,Ontario,Canada,,44.2333648,-76.4923545,,,,,6135495425,info@bubbaspizzeria.com,http://www.bubbaspizzeria.com,http://www.twitter.com/bubbaspoutine,https://www.facebook.com/BubbasPoutinePizzeria/,,,,,Vegetarian,Get Directions,,,,0,,0,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/2485_bubbapic.jpg,https://kingston.ethicaltree.com/wp-content/uploads/2017/10/10259280_281006755407410_520055511729649770_o.jpg,,,,,,,,,,,,,,,,
