post_id,post_title,post_author,post_content,post_category,default_category,post_tags,post_type,post_status,is_featured,claimed,package_id,alive_days,expire_date,post_date,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_neighbourhood,neighbourhood_latitude,neighbourhood_longitude,geodir_timing,geodir_contact,geodir_email,geodir_website,geodir_twitter,geodir_facebook,geodir_video,geodir_special_offers,linked_cpt_ID,geodir_backendextrainfo,geodir_ethicalcriteria,geodir_get_directions,geodir_twitterusername,geodir_Instagram,geodir_Calltoaction,gd_is_franchise,gd_franchise_lock,franchise,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE,IMAGE
206,Carleton University - Vegan food bar,1,"This is the Carleton student's residential cafeteria but is open to all. Cash only.

Many food stalls available; one of which is exclusively vegan and well-labelled.",Restaurants,Restaurants,"American,Canadian,Restaurant,Vegan",gd_place,publish,,,1,0,Never,2016-04-14 13:23,1125 Colonel By Dr,Ottawa,Ontario,Canada,"K1S, Ca",45.383532,-75.697517,Old Ottawa South,45.393166,-75.6824865,Open during school semester and hours,6135202600,diningservices@carleton.ca,http://dining.carleton.ca,http://twitter.com/CarletonDining,https://www.facebook.com/cudining,,,,,"Vegan,Vegetarian",Get Directions,CarletonDining,,,0,,0,https://ethicaltree.com/wp-content/uploads/2017/03/206_Screen-Shot-2017-03-19-at-7.32.17-PM.png,https://ethicaltree.com/wp-content/uploads/2016/04/Carleton.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Cafe My House,261,"Plant-based restaurant in Hintonburg. Seasonal &amp; changing menu.

Organic fair-trade coffee and tea.

Weekend brunches 10am-2pm.
Sunday Pizza Special.

NCVA members get 10% discount",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Sit-Down Restaurants in Ottawa,Best Vegan and Vegetarian Breakfast and Brunch Spots in Ottawa,Best Woman-owned Restaurants in Ottawa,Restaurant",gd_place,publish,,,1,0,Never,2017-02-06 1:08,1015 Wellington St. W,Ottawa,Ontario,Canada,K1Y 2Y1,45.4050029,-75.7237729,Hintonburg,45.4017503,-75.7267089,"Tues-Thurs 5:30-9:30pm; Fri 5:30-10:30pm; Sat 10am-2pm, 5:30-10:30pm; Sun 10am-2pm, 5:30-9:30pm; closed Mondays",6137330707,info@cafemyhouse.com,http://www.cafemyhouse.com,https://twitter.com/CafeMyHouse,https://www.facebook.com/CafeMyHouse/,,,,Owner/Chef Briana Kim,"Vegan,Vegetarian,Fair trade,Woman-owned,Organic",Get Directions,CafeMyHouse,,,0,,0,https://ethicaltree.com/wp-content/uploads/2016/08/260_13631573_1403670079646841_8777734907432306637_n.jpg,https://ethicaltree.com/wp-content/uploads/2016/05/1601378_813012005379321_575540130_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Ola Cocina,55,"Ola Cocina is a fun little spot in Ottawa that offers catering services and great meals to bring home.

Vegan options: For breakfast or brunch they have a veg-mix they can replace egg with in any dish - try the vegan juevos rancheros! For lunch they have vegan-friendly options for most items including tortas and tacos.",Restaurants,Restaurants,"Best Mexican Restaurants with Vegan and Vegetarian Options in Ottawa,Best Vegan and Vegetarian Breakfast and Brunch Spots in Ottawa,February2017,gluten-free,Mexican,Restaurant",gd_place,publish,,1,1,0,Never,2016-05-17 12:28,62 Barrette St,Ottawa,Ontario,Canada,K1L 8A5,45.4395154,-75.6749014,Ottawa East,45.4145372,-75.647384,Mon Closed;  Tues-Fri 11:30am-8pm;  Sat 10am-8pm;  Sun 10am-3pm,6137466222,olacocina@gmail.com,http://Www.olacocina.ca,http://twitter.com/olacocina,https://www.facebook.com/Olacocina/,,,,,"Vegan,Vegetarian,Woman-owned",Get Directions,olacocina,,,0,,0,https://ethicaltree.com/wp-content/uploads/2016/05/10466980_597366807052543_7313514945877737820_o.jpg,https://ethicaltree.com/wp-content/uploads/2016/05/13082665_865199276935960_201117007214825604_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,SimplyRaw Express,261,"Raw juice bar & healthy lifestyle center. One hundred percent plant-based and gluten-free. Educational workshops, culinary classes, detox and nutritional programs.

Fair Trade coffee and tea available.

NCVA members get 10% discount on food and drinks",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Vegan and Vegetarian Restaurants for Grab-and-Go Lunches in Ottawa,Best Woman-owned Restaurants in Ottawa,gluten-free,juice,Raw,Restaurant,Take-out,Vegan",gd_place,publish,,,1,0,Never,2016-05-17 12:53,989 Wellington Street West,Ottawa,Ontario,Canada,K1Y 2Y1,45.4055588,-75.7230957,Hintonburg,45.4017503,-75.7267089,"Tues-Fri:	 08:00 - 19:00 Sat-Sun:	 10:00 - 18:00",6132340806,info@simplyraw.ca,http://www.simplyrawexpress.com,https://twitter.com/SimplyRawXpress,https://www.facebook.com/simplyrawexpress/,,,,Owner Natasha Kyssa,"Vegan,Vegetarian,Fair trade,Woman-owned",Get Directions,SimplyRawXpress,,,0,,0,https://ethicaltree.com/wp-content/uploads/2017/03/266_16143330_1313005458773925_4178486890016897233_n.jpg,https://ethicaltree.com/wp-content/uploads/2016/05/10465429_661365820604562_4999400665718638589_o.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Bread & Sons Bakery,261,"Everything homemade.

Vegetarian bakery and coffee shop. Makes breads and baked goods, date squares, soups, salads, hummus, sandwiches, pizza.

The ""All the Worlds Green"" is a vegan pizza with spinach, kale, arugula, olives, garlic, red peppers and roasted sweet potato (no cheese substitute).",Cafés and Bakeries,Cafés and Bakeries,"Bakery,Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Vegan and Vegetarian Restaurants with Delivery in Ottawa,Cafe,coffee,Pizza,sandwhiches",gd_place,publish,,,1,0,Never,2016-05-17 13:05,195 Bank Street,Ottawa,Ontario,Canada,K2P 1W7,45.417717,-75.6981892,centretown-1-1-1,45.4133828,-75.6943837,"Mon-Thu 6:30am-6:30pm, Fri 6:30am-8:00pm, Sat 8:30am-7:30pm",6132305302,breadandsons@gmail.com,http://breadandsons.com,,https://www.facebook.com/Bread-Sons-Bakery-111306055621792/,,,,,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://ethicaltree.com/wp-content/uploads/2017/08/268_18423180_1174441749332930_6601720426704920367_o.jpg,https://ethicaltree.com/wp-content/uploads/2017/08/268_294380_152011698217894_1829471_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Govinda's Vegetarian Buffet,261,"GOVINDA'S is Ottawa's first and oldest vegetarian establishment, since 1981. GOVINDA'S is operated on a non-profit basis by the International Society for Krishna Consciousness (ISKCON). We provide an “All You Can Eat” hot and cold buffet. GOVINDA'S offers food for the body, mind and spirit.

Entirely vegan buffet. Only $5 for students and $7 for others, all-you-can eat simple Indian food. Rice with lentils, curry and salad.",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Indian Restaurants with Vegetarian and Vegan options (Ottawa),Buffet,cheap,Indian,Restaurant,Vegan",gd_place,publish,,,1,0,Never,2017-03-28 8:14,212 Somerset Street East,Ottawa,Ontario,Canada,K1N 6V4,45.4226367,-75.6788278,Sandy Hill,45.4257867,-75.68156,Mon.- Fri.  5:00 – 8:00 pm,6135656544,info@ethicaltree.com,http://ottawa.iskcon.ca/homepage/buffet2.htm,,https://www.facebook.com/govindasottawa/,,,,,"Vegan,Vegetarian",Get Directions,,,,0,,0,https://ethicaltree.com/wp-content/uploads/2016/08/270_14261.jpg,https://ethicaltree.com/wp-content/uploads/2016/05/247286_206347289404749_2530458_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Peace-Garden,261,"Peace Garden is an international, gourmet, vegetarian/vegan organic fair-trade coffee shop that offers culinary delectables, specializes in 100% fresh power smoothies and juices, world-class catering, homemade vegan truffles and offers many gluten-free items including a fabulous vegan chocolate mousse.
Call ahead (613-562-2434) and be ready to receive your take-out order in bio containers or eat-in and enjoy the ambiance.",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Organic Restaurants and Businesses (Ottawa),Fair Trade,Organic,Restaurant,Smoothies,Vegan",gd_place,publish,,,1,0,Never,2016-05-17 13:18,47 Clarence St,Ottawa,Ontario,Canada,K1N 9K1,45.4288716,-75.6939885,Byward Market,45.4272431,-75.694269,"Mon - Fri:	10:00 - 19:00 Sat - Sun:	09:00 - 18:00",6135622434,,http://www.peacegarden.com,,https://www.facebook.com/pages/Peace-Garden/357858314414952,,,,,"Vegan,Vegetarian,Fair trade,Organic",Get Directions,,,,0,,0,https://ethicaltree.com/wp-content/uploads/2017/03/272_Screen-Shot-2017-03-19-at-7.27.42-PM.png,https://ethicaltree.com/wp-content/uploads/2016/05/peacegarden.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Perfection-Satisfaction-Promise,193,"Perfection-Satisfaction-Promise is dedicated to conscious living and healthy eating. We are independently owned and operated, inspired by the study of meditation and the spiritual teachings of Sri Chinmoy whose vision of world peace and oneness is the guiding force behind our food preparation and customer service. Our menu's flavours are culturally inspired and includes a growing supply of seasonally available, locally farmed organic ingredients – all prepared with loving care in-house from scratch.

Vegan and gluten-free options are always plentiful! We are 100% vegetarian.

See our website for clearly-labelled vegan and gluten-free options.

Locally roasted Fair Trade Coffee and Tea from Equator Coffee, specialty beverages and home-made artisan desserts.",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Indian Restaurants with Vegetarian and Vegan options (Ottawa),Best Organic Restaurants and Businesses (Ottawa),Best Vegan and Vegetarian Breakfast and Brunch Spots in Ottawa,Best Vegan and Vegetarian Burgers in Ottawa,Best Woman-owned Restaurants in Ottawa,gluten-free,Indian,March2017,Restaurant,Vegan",gd_place,publish,,1,1,0,Never,2016-05-17 13:23,167 Laurier Ave E,Ottawa,Ontario,Canada,K1N6N8,45.42524,-75.683589,Sandy Hill,45.4257867,-75.68156,Monday 10 am - 8 pm Tuesday 10 am - 8 pm Wednesday 10 am - 5 pm*  Every Wednesday we close at 5 pm Thursday 10 am - 8 pm Friday 10 am - 8 pm Saturday 12 noon - 9 pm Sunday  closed,6132347299,info@perfection-satisfaction-promise.ca,http://perfection-satisfaction-promise.ca/en/,,https://www.facebook.com/Perfection-Satisfaction-Promise-124267980949035/,,,,Owner: Prapti,"Vegan,Vegetarian,Fair trade,Woman-owned,Organic",Get Directions,,,,0,,0,https://ethicaltree.com/wp-content/uploads/2017/02/273_burger-joy-blackbean-beet.jpg,https://ethicaltree.com/wp-content/uploads/2017/02/273_PSP_logo_2016.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Pure Kitchen (Richmond Rd),54,"Pure Kitchen.
We are fresh, vegetarian and always delicious. Juice bar, table service, take out, juice cleanses and so much more! Purely awesome

Fair Trade Coffee from Equator Coffee Roasters, roasted locally in Almonte, ON.",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Sit-Down Restaurants in Ottawa,Best Vegan and Vegetarian Breakfast and Brunch Spots in Ottawa,Best Vegan and Vegetarian Burgers in Ottawa,juice,Poutine,Raw,Restaurant,Strawberry Blonde Retailers,Take-out,Vegan",gd_place,publish,,1,1,0,Never,2016-05-17 13:35,357 Richmond rd,Ottawa,Ontario,Canada,K2A 0E7,45.391751,-75.7547261,Westboro,45.3922459,-75.7532734,"Mon-Wed:	 11:00 - 21:00 Thurs-Sat:	 11:00 - 22:00 Sun:	 11:00 - 21:00",6136805500,,http://www.purekitchenottawa.com,https://twitter.com/purekitchenott,https://www.facebook.com/Pure-Kitchen-Ottawa-1542921929278480/,,,,,"Vegan,Vegetarian,Fair trade,Woman-owned",Get Directions,purekitchenott,,,1,"gd_placecategory,geodir_email,geodir_ethicalcriteria,geodir_backendextrainfo,geodir_facebook,post_desc,geodir_menu,geodir_twitter,geodir_website",0,https://ethicaltree.com/wp-content/uploads/2016/08/275_Screen-Shot-2016-08-10-at-1.07.29-AM.png,https://ethicaltree.com/wp-content/uploads/2016/05/11016100_1615406718696667_1709140650989569644_n.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Green Door Vegetarian Restaurant,261,"The Green Door is Ottawa’s oldest and best-known vegetarian restaurant, established in 1988. We use only quality ingredients. Our preferred source for produce is local and organic. Most menu choices are vegan, many gluten-free. There is also a ""Green Door Grocer"" next door with Fair Trade, Organic and Vegan retail goods.

Buffet, pay-by-weight restaurant. Entirely vegetarian and items are labelled if they contain eggs or dairy.

Fair Trade coffee and hot chocolate. Organic tea.",Restaurants,Restaurants,"Best Entirely Vegetarian and Vegan Restaurants in Ottawa,Best Organic Restaurants and Businesses (Ottawa),Best Vegan and Vegetarian Breakfast and Brunch Spots in Ottawa,Buffet,f02,gluten-free,Healthy Vegan and Vegetarian Restaurants in Ottawa,Organic,Restaurant,Vegan",gd_place,publish,,,1,0,Never,2016-05-17 13:43,198 Main St,Ottawa,Ontario,Canada,K1S1C6,45.407995,-75.6773717,Old Ottawa South,45.393166,-75.6824865,"Tues-Sun:	 11:00 - 21:00",6132349597,info@thegreendoor.ca,http://www.thegreendoor.ca,https://twitter.com/greendoorfood,https://www.facebook.com/TheGreenDoorVegetarianRestaurant/,,,,,"Vegan,Vegetarian,Fair trade,Organic",Get Directions,greendoorfood,,,0,,0,https://ethicaltree.com/wp-content/uploads/2016/08/277_Ottawa-059.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
