name,facebook_uri,region,country,google_name,fb_description,hc_description,hours,location,website,fb_food_styles,hc_categories
"""Calli & Fortune Delight on Tap""",Calli-Fortune-Delight-on-Tap-212406835445640,Toronto,Canada,,"Barbara Corrigan - Calli Tea teetotaler for over 20 years!",,,"{'city': 'Toronto', 'country': 'Canada', 'latitude': 43.6796099, 'longitude': -79.32733, 'state': 'ON', 'street': '120 Gillard Avenue', 'zip': 'M4J 4N6'}",,,
"&Company Resto Bar",andcorestobar,Toronto,Canada,,"Life is about the interaction between you, your circle and your environment. &Company Resto Bar, steps away from the Square One Shopping Center, is the local hotspot for you to feed your social appetite. ",,"{'wed_1_open': '19:00', 'wed_1_close': '02:00', 'fri_1_open': '19:00', 'fri_1_close': '02:00', 'sat_1_open': '19:00', 'sat_1_close': '02:00'}","{'city': 'Mississauga', 'country': 'Canada', 'latitude': 43.5904741, 'longitude': -79.6352387, 'state': 'ON', 'street': '295 Enfield Place', 'zip': 'L5B 3J4'}",http://www.andcompany.ca/,,
"1 Jerk Jamaican Chinese Take Out",pages/1-Jerk-Jamaican-Chinese-Take-Out,Toronto,Canada,,,,,,,,
"1 Plus 2 Pizza & Wings",pages/1-Plus-2-Pizza-Wings,Toronto,Canada,,,,,,,,
"1 Plus 2 Pizza & Wings Inc",pages/1-Plus-2-Pizza-Wings-Inc,Toronto,Canada,,,,,,,,
"100% Salvadoreño Restaurante","100-Salvadoreño-Restaurante-585347758343229",Toronto,Canada,,"Es el mejor lugar para dis frutar los mejores platos salvadoreño ysus deliciosas sopas ",,"{'mon_1_open': '11:00', 'mon_1_close': '21:00', 'wed_1_open': '11:00', 'wed_1_close': '21:00', 'thu_1_open': '11:00', 'thu_1_close': '21:00', 'fri_1_open': '10:00', 'fri_1_close': '22:00', 'sat_1_open': '10:00', 'sat_1_close': '23:00', 'sun_1_open': '10:00', 'sun_1_close': '21:00'}","{'city': 'Toronto', 'country': 'Canada', 'latitude': 43.69723, 'longitude': -79.4941599, 'state': 'ON', 'street': '612 Threthewey Drive', 'zip': 'M6M 4C3'}",,,
"1181 Thai Cuisine LTD",pages/1181-Thai-Cuisine-LTD,Toronto,Canada,,,,,,,,
"12 Forty Eight Cafe",pages/12-Forty-Eight-Cafe,Toronto,Canada,,,,,,,,
"13 Baking Company",13bakingcompany,Toronto,Canada,,,"Vegan and gluten-free baking company. Operates a booth at farmers market on Saturday and Sunday.          ",,"{'city': 'Toronto', 'country': 'Canada', 'latitude': 43.653035, 'longitude': -79.451615, 'state': 'ON', 'street': 'Roncesvalles'}",http://www.13bakingcompany.com,,
"155 BAR & BBQ",155barbbq,Toronto,Canada,,,,,,,,
"168 Sushi Buffet",168sushimississauga,Toronto,Canada,,"168 Sushi Japan Buffet.Bar strive to provide satisfying dining experience for our guests.",,"{'mon_1_open': '11:00', 'mon_1_close': '22:30', 'tue_1_open': '11:00', 'tue_1_close': '22:30', 'wed_1_open': '11:00', 'wed_1_close': '22:30', 'thu_1_open': '11:00', 'thu_1_close': '22:30', 'fri_1_open': '11:00', 'fri_1_close': '23:00', 'sat_1_open': '11:00', 'sat_1_close': '23:00', 'sun_1_open': '11:00', 'sun_1_close': '22:00'}","{'city': 'Mississauga', 'country': 'Canada', 'latitude': 43.52985, 'longitude': -79.6732, 'state': 'ON', 'street': '2366 Dundas Street West.', 'zip': 'L5K1R7'}",http://168sushibuffet.com/miss/home.html,"['Asian Fusion', 'Chinese', 'Diners', 'Japanese', 'Korean', 'Seafood', 'Sushi Bars', 'Thai']",
"17 Steakhouse & Bar",17steakhouse,Toronto,Canada,,"Mississauga's new upscale Steakhouse and bar. ",,"{'mon_1_open': '11:00', 'mon_1_close': '23:00', 'tue_1_open': '11:00', 'tue_1_close': '23:00', 'wed_1_open': '11:00', 'wed_1_close': '23:00', 'thu_1_open': '11:00', 'thu_1_close': '23:00', 'fri_1_open': '11:00', 'fri_1_close': '23:00', 'sat_1_open': '17:00', 'sat_1_close': '23:00', 'sun_1_open': '17:00', 'sun_1_close': '23:00'}","{'city': 'Mississauga', 'country': 'Canada', 'latitude': 43.6398506, 'located_in': '125096100886204', 'longitude': -79.6246338, 'state': 'ON', 'street': '5165 Dixie Road', 'zip': 'L4W 4G1'}",http://www.17steakhouse.com/,"['Steakhouses']",
"17 Steps",17-Steps-121810837846810,Toronto,Canada,,"Wonderful atmosphere with equally great food !!!.....check us out at "" View the Vibe "" web-site (just west of runnymede station on bloor st.)",,"{'tue_1_open': '11:30', 'tue_1_close': '02:00', 'wed_1_open': '11:30', 'wed_1_close': '02:00', 'thu_1_open': '11:30', 'thu_1_close': '02:00', 'fri_1_open': '11:30', 'fri_1_close': '02:00', 'sat_1_open': '10:00', 'sat_1_close': '02:00', 'sun_1_open': '10:00', 'sun_1_close': '02:00'}","{'city': 'Toronto', 'country': 'Canada', 'latitude': 43.65082, 'longitude': -79.47685, 'state': 'ON', 'street': '2241 Bloor st. west', 'zip': 'M6S 1N7'}","www.17steps.ca ","['Greek and Mediterranean']",
