post_id,post_title,post_author,post_content,post_category,default_category,post_tags,post_type,post_status,is_featured,package_id,alive_days,expire_date,post_date,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,post_neighbourhood,neighbourhood_latitude,neighbourhood_longitude,geodir_timing,geodir_contact,geodir_email,geodir_website,geodir_twitter,geodir_facebook,geodir_video,geodir_special_offers,linked_cpt_ID,geodir_backendextrainfo,geodir_ethicalcriteria,geodir_get_directions,geodir_twitterusername,geodir_Instagram,geodir_Calltoaction,gd_is_franchise,gd_franchise_lock,franchise,IMAGE,IMAGE2,IMAGE3,IMAGE4,IMAGE5,IMAGE6,IMAGE7,IMAGE8,IMAGE9,IMAGE10,IMAGE11,IMAGE12,IMAGE13,IMAGE14,IMAGE15,IMAGE16,IMAGE17,IMAGE18,IMAGE19,IMAGE20,IMAGE21,IMAGE22,IMAGE23,IMAGE24,IMAGE25,LookupKey,FB hours (scraper),Ethicalities,Business Type,FinalTags,Final Description,fiverr_menu_id,UniqueCount
2687,Liquid Nutrition,750,Liquid Nutrition,,,Smoothie &amp; Juice Bar,gd_place,publish,,1,0,Never,2018-05-05 16:33,321 Cornwall Rd,Oakville,Ontario,Canada,,43.4579143,-79.6787239,,,,,(905) 339-3800,,http://www.liquidnutrition.com,,https://www.facebook.com/liquidnutrition.oakville/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/1545759_636923259673253_5527289310589646079_n-1.png,,,,,,,,,,,,,,,,,,,,,,,,,liquidnutritionoakville,,Vegan;Vegetarian;,,,"Liquid Nutrition is a juice and smoothie chain with great vegan shakes, vitamins, and grab-and-go meals.",0,Liquid Nutrition
2826,Gelato Simply Italian,750,Gelato Simply Italian,,,"Coffee Shop,Ice Cream Shop,Italian Restaurant",gd_place,publish,,1,0,Never,2018-05-05 17:04,146 cumberland,Toronto,Ontario,Canada,,43.6700082,-79.3928465,Midtown Toronto,43.6462487,-79.3904529,,4167926620,,,,https://www.facebook.com/Gelato-Simply-Italian-233190906720657/,,,,,,Get Directions,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,Gelato-Simply-Italian-233190906720657,,Vegan;Vegetarian;,Store;,Best-Vegan-and-Vegetarian-Desserts-Pastries-and-Treats;Store,Gelato Simply Italian with excellent traditional vegan gelato.,0,Gelato Simply Italian
3004,Golden Thai,750,Serving Toronto's Best Thai Food for over 20 Years,,,Thai Restaurant,gd_place,publish,,1,0,Never,2018-05-05 17:44,105 Church St.,Toronto,Ontario,Canada,,43.6523454,-79.375276,,,,,(416) 868-6668,,http://goldenthai.ca,,https://www.facebook.com/Golden-Thai-729194163781190/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/1932244_737932652907341_854754612_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/10301279_768469289853677_1732736349312761868_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/1920186_739669169400356_1693339554_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/1509142_738167162883890_1876170773_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/1187050_737932729574000_481095_n.jpg,,,,,,,,,,,,,,,,,,,,,Golden-Thai-729194163781190,,Vegan;Vegetarian;,Restaurant;,best-asian-restaurants-with-vegan-and-vegetarian-options-in;Restaurant,"Serving Toronto's Best Thai Food for over 20 Years.

The menu features a vegan section with a wide range of items from soups to platters to pad thais. Lunch specials are very affordable.",293,Golden Thai
4166,Pizzaiolo Gourmet Pizza,750,"Local chain offering thick-crust pizzas with gourmet toppings, housemade sauce & gluten-free option",,,Pizza Place,gd_place,publish,,1,0,Never,2018-05-05 22:26,66 Kingston Road,Toronto,Ontario,Canada,,43.6690124,-79.3118849,Upper Beaches,43.6462487,-79.3904529,,416-698-0700,,https://www.pizzaiolo.ca,,https://www.facebook.com/Pizzaiolo66KingstonRd/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/29388577_211369586282569_3301225371101298688_n-14.png,http://ettest.pow7.com/wp-content/uploads/2018/05/30726728_158562438169074_5601877502120650346_n.png,http://ettest.pow7.com/wp-content/uploads/2018/05/30656187_158244188200899_3752724864432500074_n.jpg,,,,,,,,,,,,,,,,,,,,,,,Pizzaiolo66KingstonRd,"{'mon_1_open': '14:00', 'mon_1_close': '22:00', 'tue_1_open': '14:00', 'tue_1_close': '22:00', 'wed_1_open': '14:00', 'wed_1_close': '22:00', 'thu_1_open': '14:00', 'thu_1_close': '22:00', 'fri_1_open': '14:00', 'fri_1_close': '22:00', 'sat_1_open': '14:00', 'sat_1_close': '23:00', 'sun_1_open': '14:00', 'sun_1_close': '23:00'}",Vegan;Vegetarian;,,Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches;Best-Vegan-and-Vegetarian-Restaurants-with-Delivery;Gluten-Free-Options,"Our business continues to grow as happy customers spread the word and keep coming back for the taste, the service, and the quality.

Quality pizza with vegan cheese options as well as several pizza which are intentionally cheese-less, yet still delicious for vegans and non-vegans alike. Also carries gluten-free pizza dough.",0,Pizzaiolo Gourmet Pizza (Kingston Rd)
4168,Pizzaiolo Gourmet Pizza,750,"Local chain offering thick-crust pizzas with gourmet toppings, housemade sauce & gluten-free option",,,Pizza Place,gd_place,publish,,1,0,Never,2018-05-05 22:26,2425 Bloor Street West,Toronto,Ontario,Canada,,43.6491819,-79.4834832,Bloor West Village,43.6462487,-79.3904529,,416-767-8910,,https://www.pizzaiolo.ca,,https://www.facebook.com/Pizzaiolo2425BloorSt/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/29388577_211369586282569_3301225371101298688_n-15.png,,,,,,,,,,,,,,,,,,,,,,,,,Pizzaiolo2425BloorSt,,Vegan;Vegetarian;,,Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches;Best-Vegan-and-Vegetarian-Restaurants-with-Delivery;Gluten-Free-Options,"Our business continues to grow as happy customers spread the word and keep coming back for the taste, the service, and the quality.

Quality pizza with vegan cheese options as well as several pizza which are intentionally cheese-less, yet still delicious for vegans and non-vegans alike. Also carries gluten-free pizza dough.",287,Pizzaiolo Gourmet Pizza (2425 Bloor)
4170,Pizzaiolo Gourmet Pizza,750,"Local chain offering thick-crust pizzas with gourmet toppings, housemade sauce & gluten-free option",,,Pizza Place,gd_place,publish,,1,0,Never,2018-05-05 22:27,1160 St. Clair Avenue West,Toronto,Ontario,Canada,,43.678374,-79.442619,St. Clair West Village,43.6462487,-79.3904529,,416-654-8000,,https://www.pizzaiolo.ca,,https://www.facebook.com/Pizzaiolo1160StClairAve/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/29388577_211369586282569_3301225371101298688_n-16.png,http://ettest.pow7.com/wp-content/uploads/2018/05/30710165_183080338999315_6119259662907867136_n.png,http://ettest.pow7.com/wp-content/uploads/2018/05/30709540_182700582370624_1250192893134503936_n.jpg,,,,,,,,,,,,,,,,,,,,,,,Pizzaiolo1160StClairAve,"{'mon_1_open': '10:00', 'mon_1_close': '23:00', 'tue_1_open': '10:00', 'tue_1_close': '23:00', 'wed_1_open': '10:00', 'wed_1_close': '23:00', 'thu_1_open': '10:00', 'thu_1_close': '23:00', 'fri_1_open': '10:00', 'fri_1_close': '23:00', 'sat_1_open': '10:00', 'sat_1_close': '23:00', 'sun_1_open': '10:00', 'sun_1_close': '23:00'}",Vegan;Vegetarian;,,Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches;Best-Vegan-and-Vegetarian-Restaurants-with-Delivery;Gluten-Free-Options,"Our business continues to grow as happy customers spread the word and keep coming back for the taste, the service, and the quality.

Quality pizza with vegan cheese options as well as several pizza which are intentionally cheese-less, yet still delicious for vegans and non-vegans alike. Also carries gluten-free pizza dough.",16,Pizzaiolo Gourmet Pizza (1160 St Clair)
4424,freshii,750,freshii,,,Fast Food Restaurant,gd_place,publish,,1,0,Never,2018-05-06 10:13,998 Kingston Rd.,Toronto,Ontario,Canada,,43.6808416,-79.285696,Upper Beaches,43.6462487,-79.3904529,,14373174379,,https://freshii.com,,https://www.facebook.com/1132FreshiiToronto/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/27355862_2042349636002634_6242054196047240857_o.jpg,,,,,,,,,,,,,,,,,,,,,,,,,1132FreshiiToronto,"{'mon_1_open': '11:00', 'mon_1_close': '18:00', 'tue_1_open': '11:00', 'tue_1_close': '19:00', 'wed_1_open': '11:00', 'wed_1_close': '19:00', 'thu_1_open': '11:00', 'thu_1_close': '19:00', 'fri_1_open': '11:00', 'fri_1_close': '19:00', 'sat_1_open': '11:00', 'sat_1_close': '19:00', 'sun_1_open': '11:00', 'sun_1_close': '18:00'}",Vegan;Vegetarian;Organic;,Restaurant;,Best-Vegan-and-Vegetarian-Restaurants-for-Grab-and-Go-Lunches;best-organic-restaurants-and-businesses;healthy-vegan-and-vegetarian-restaurants;Restaurant,"Good fast food chain where you can easily create vegan dishes by customizing wraps, bowls and salads. Tofu is offered as a vegan protein, as well as beans and many other delicious veggie toppings.",126,freshii (Kingston Rd)
4164,PeterPiperPepper,750,Peter Piper Pepper offers Fairtrade Canada certified spices and soy sauce. Sourced from partnerships with farmer's co-ops in India and Thailand. ,,,"Grocery Store,Restaurant,Retail Company",gd_place,publish,,1,0,Never,2018-05-05 22:26,12-7015 Tranmere Drive,Mississauga,Ontario,Canada,,43.6828647,-79.6676645,,,,,416-305-2015,peter@peterpiperpepper.com,https://peterpiperpepper.com,,https://www.facebook.com/peterpiperpepper/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/10865743_908232029217365_7740757572401415595_o.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/185993_447289015311671_1819563941_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,peterpiperpepper,0,Fair Trade;,,,Peter Piper Pepper offers Fairtrade Canada certified spices and soy sauce. Sourced from partnerships with farmer's co-ops in India and Thailand. ,205,PeterPiperPepper
3772,"Alternative Grounds Coffee House & Roastery, www.alternativegrounds.com",750,"We are licensed Fairtrade coffee roaster through Fairtrade Canada and a proud member of Cooperative Coffees (http://coopcoffees.com/).
Check out their website and learn more about our products and roaster/farmer partnerships (http:alternativegrounds.com/).

",,,Food &amp; Beverage,gd_place,publish,,1,0,Never,2018-05-05 21:19,No Street Address,Toronto,ON,Canada,,43.65923,-79.44517,,,,,416-534-6335,info@alternativegrounds.com,http://www.alternativegrounds.com,,https://www.facebook.com/alternativegroundscoffee/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/548179_391235784279131_623498381_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/534485_405642426171800_2021020946_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/546494_376007279135315_1582503224_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/246914_375987489137294_104825497_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/224294_375987375803972_1261958383_n.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/488229_375980459137997_1301014536_n.jpg,,,,,,,,,,,,,,,,,,,,alternativegroundscoffee,0,Fair Trade;Organic;,cafe;Store;,Fair-trade-lifestyle-clothing-household-gifts-and-groceries;best-fair-trade-coffee-shops;best-organic-restaurants-and-businesses;Best-Places-to-Work-and-Study;Best-Health-Food-Stores;cafe;Store,"We are licensed Fairtrade coffee roaster through Fairtrade Canada and a proud member of Cooperative Coffees (http://coopcoffees.com/).
Check out their website and learn more about our products and roaster/farmer partnerships (http:alternativegrounds.com/).

",246,Alternative Grounds Coffee House & Roastery
3943,Fair Grounds Organic Café & Roastery,750,"We believe in fair trade coffee. At Fair Grounds we purchase directly from the growers for a higher price than standard coffee. The purpose of fair trade is to promote healthier working conditions and greater economic incentive for producers

Organic & Fair because we care!

We specialize in Organic Fair Trade Coffee that is roasted frequently for the best flavour and freshness.

Delicious hand crafted specialty drinks such as cappuccinos, lattes and more made specifically for you by our exceptional baristas. 

Our baked goods are baked fresh every morning in our very own bakery at our 3785 Lakeshore Blvd cafe location. 6am-9pm everyday.

We have 3 locations to serve you!

3785 Lakeshore Blvd
(Close to Long Branch Station)
6am-9pm Every day

3261 Lake Shore Blvd 
(Close to Humber College) 
7am-5pm Weekdays and 8am-5pm Weekends

1106 Ogden Ave
(off of Lakeshore, Mississauga)
7am-2pm weekdays and 8am-4pm Saturday/Closed Sunday",,,"Bakery,Coffee Shop,Restaurant",gd_place,publish,,1,0,Never,2018-05-05 21:48,3785 Lake Shore Blvd W,Toronto,Ontario,Canada,,43.5924163,-79.5415236,Long Branch,43.6462487,-79.3904529,,(416) 251-2233,info@fairgroundscoffee.ca,http://www.fairgroundscoffee.ca,,https://www.facebook.com/fairgroundscoffee/,,,,,,Get Directions,,,,0,,0,http://ettest.pow7.com/wp-content/uploads/2018/05/12068594_1067638013248377_8536369100439280885_o.jpg,http://ettest.pow7.com/wp-content/uploads/2018/05/268503_242321772446676_3922704_n.jpg,,,,,,,,,,,,,,,,,,,,,,,,fairgroundscoffee,"{'mon_1_open': '06:00', 'mon_1_close': '21:00', 'tue_1_open': '06:00', 'tue_1_close': '21:00', 'wed_1_open': '06:00', 'wed_1_close': '21:00', 'thu_1_open': '06:00', 'thu_1_close': '21:00', 'fri_1_open': '06:00', 'fri_1_close': '21:00', 'sat_1_open': '06:00', 'sat_1_close': '21:00', 'sun_1_open': '07:00', 'sun_1_close': '19:00'}",Fair Trade;Organic;,cafe;Bakery;,best-fair-trade-coffee-shops;best-organic-restaurants-and-businesses;Best-Places-to-Work-and-Study;cafe;Bakery,"We believe in fair trade coffee. At Fair Grounds we purchase directly from the growers for a higher price than standard coffee. The purpose of fair trade is to promote healthier working conditions and greater economic incentive for producers

Organic & Fair because we care!

We specialize in Organic Fair Trade Coffee that is roasted frequently for the best flavour and freshness.

Delicious hand crafted specialty drinks such as cappuccinos, lattes and more made specifically for you by our exceptional baristas. 

Our baked goods are baked fresh every morning in our very own bakery at our 3785 Lakeshore Blvd cafe location. 6am-9pm everyday.

We have 3 locations to serve you!

3785 Lakeshore Blvd
(Close to Long Branch Station)
6am-9pm Every day

3261 Lake Shore Blvd 
(Close to Humber College) 
7am-5pm Weekdays and 8am-5pm Weekends

1106 Ogden Ave
(off of Lakeshore, Mississauga)
7am-2pm weekdays and 8am-4pm Saturday/Closed Sunday",0,Fair Grounds Organic Café & Roastery
