name,facebook_uri,hours,images
"100% Salvadoreño Restaurante","100-Salvadoreño-Restaurante-585347758343229","{'mon_1_open': '11:00', 'mon_1_close': '21:00', 'wed_1_open': '11:00', 'wed_1_close': '21:00', 'thu_1_open': '11:00', 'thu_1_close': '21:00', 'fri_1_open': '10:00', 'fri_1_close': '22:00', 'sat_1_open': '10:00', 'sat_1_close': '23:00', 'sun_1_open': '10:00', 'sun_1_close': '21:00'}",
1112FreshiiEtobicoke/,1112FreshiiEtobicoke/,"{'mon_1_open': '08:00', 'mon_1_close': '20:00', 'tue_1_open': '08:00', 'tue_1_close': '20:00', 'wed_1_open': '08:00', 'wed_1_close': '20:00', 'thu_1_open': '08:00', 'thu_1_close': '20:00', 'fri_1_open': '08:00', 'fri_1_close': '20:00', 'sat_1_open': '08:00', 'sat_1_close': '20:00', 'sun_1_open': '10:00', 'sun_1_close': '19:00'}",https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/29695066_419319621846054_3028264608928851130_n.jpg?_nc_cat=0&oh=998cd801734e08dde818481937d0d452&oe=5BBC089C
1132FreshiiToronto/,1132FreshiiToronto/,"{'mon_1_open': '11:00', 'mon_1_close': '18:00', 'tue_1_open': '11:00', 'tue_1_close': '19:00', 'wed_1_open': '11:00', 'wed_1_close': '19:00', 'thu_1_open': '11:00', 'thu_1_close': '19:00', 'fri_1_open': '11:00', 'fri_1_close': '19:00', 'sat_1_open': '11:00', 'sat_1_close': '19:00', 'sun_1_open': '11:00', 'sun_1_close': '18:00'}",
1181FreshiiToronto/,1181FreshiiToronto/,"{'mon_1_open': '09:00', 'mon_1_close': '20:00', 'tue_1_open': '09:00', 'tue_1_close': '20:00', 'wed_1_open': '09:00', 'wed_1_close': '20:00', 'thu_1_open': '09:00', 'thu_1_close': '20:00', 'fri_1_open': '09:00', 'fri_1_close': '20:00', 'sat_1_open': '09:00', 'sat_1_close': '20:00', 'sun_1_open': '11:00', 'sun_1_close': '19:00'}",https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/32512050_616338505365183_3893798671740829696_n.jpg?_nc_cat=0&oh=6f94c0ba70c49dae570364718e0bc538&oe=5B8B53CA|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/29595316_596154200716947_1103446110159948590_n.jpg?_nc_cat=0&oh=8ec0f6328618a96eff5244051217b38d&oe=5B7763CC|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/28378595_579420082390359_81719561910603372_n.jpg?_nc_cat=0&oh=b625e2891e512f16bb9947a88a51b3e7&oe=5BB3F10B|https://scontent.fybz2-1.fna.fbcdn.net/v/t1.0-9/22687983_524317334567301_6642576753251298826_n.jpg?_nc_cat=0&oh=0aca6c29104e142747b627f4c9a81a9e&oe=5B799C10
"120  Diner",120diner,"{'tue_1_open': '17:00', 'tue_1_close': '00:00', 'wed_1_open': '00:00', 'wed_1_close': '02:00', 'wed_2_open': '17:00', 'wed_2_close': '00:00', 'thu_1_open': '17:00', 'thu_1_close': '00:00', 'fri_1_open': '01:00', 'fri_1_close': '02:00', 'fri_2_open': '17:00', 'fri_2_close': '00:00', 'sat_1_open': '17:00', 'sat_1_close': '00:00', 'sun_1_open': '17:00', 'sun_1_close': '00:00'}",
"168 Sushi Buffet",168sushi.vaughan,"{'mon_1_open': '11:00', 'mon_1_close': '22:30', 'tue_1_open': '11:00', 'tue_1_close': '22:30', 'wed_1_open': '11:00', 'wed_1_close': '22:30', 'thu_1_open': '11:00', 'thu_1_close': '22:30', 'fri_1_open': '11:00', 'fri_1_close': '23:00', 'sat_1_open': '11:00', 'sat_1_close': '23:00', 'sun_1_open': '11:00', 'sun_1_close': '22:00'}",
"168 Sushi Buffet",168sushimississauga,"{'mon_1_open': '11:00', 'mon_1_close': '22:30', 'tue_1_open': '11:00', 'tue_1_close': '22:30', 'wed_1_open': '11:00', 'wed_1_close': '22:30', 'thu_1_open': '11:00', 'thu_1_close': '22:30', 'fri_1_open': '11:00', 'fri_1_close': '23:00', 'sat_1_open': '11:00', 'sat_1_close': '23:00', 'sun_1_open': '11:00', 'sun_1_close': '22:00'}",
"17 Steakhouse & Bar",17steakhouse,"{'mon_1_open': '11:00', 'mon_1_close': '23:00', 'tue_1_open': '11:00', 'tue_1_close': '23:00', 'wed_1_open': '11:00', 'wed_1_close': '23:00', 'thu_1_open': '11:00', 'thu_1_close': '23:00', 'fri_1_open': '11:00', 'fri_1_close': '23:00', 'sat_1_open': '17:00', 'sat_1_close': '23:00', 'sun_1_open': '17:00', 'sun_1_close': '23:00'}",
"180 Panorama Restaurant",pages/180-Panorama-Restaurant/171692756214533,,
"1812 Grillhouse",1812grillhouse,"{'wed_1_open': '16:00', 'wed_1_close': '22:00', 'thu_1_open': '16:00', 'thu_1_close': '23:00', 'fri_1_open': '16:00', 'fri_1_close': '00:00', 'sat_1_open': '12:00', 'sat_1_close': '00:00', 'sun_1_open': '12:00', 'sun_1_close': '21:00'}",
